CX,CY,LVX,LVY,ANG,AV,LG,RG,ACT
-0.1429778,1.138132,-0.21076313,-0.35118765,-0.3290406,0.0017145075,0.0,0.0,2
-0.14478712,1.1305187,-0.1814083,-0.3382573,-0.32853863,0.010038919,0.0,0.0,1
-0.14666271,1.1223305,-0.18973143,-0.36342415,-0.32627636,0.04524501,0.0,0.0,1
-0.14860001,1.1135833,-0.19759616,-0.38789994,-0.32225662,0.08039493,0.0,0.0,2
-0.15033618,1.1047432,-0.1778538,-0.3919588,-0.3178496,0.088140205,0.0,0.0,2
-0.15203714,1.0962744,-0.17359217,-0.3756326,-0.31422478,0.07249641,0.0,0.0,2
-0.15338412,1.0882995,-0.13868248,-0.35357806,-0.31008556,0.0827845,0.0,0.0,2
-0.15434523,1.0809789,-0.100608304,-0.32441005,-0.30542773,0.09315679,0.0,0.0,1
-0.15538979,1.0730977,-0.111149706,-0.3488878,-0.2985078,0.1383985,0.0,0.0,2
-0.15618162,1.0660021,-0.085756496,-0.31402534,-0.2917281,0.1355943,0.0,0.0,1
-0.15706062,1.0583563,-0.09682064,-0.33805835,-0.28253978,0.18376674,0.0,0.0,2
-0.15780917,1.0509827,-0.08363224,-0.32604396,-0.27352235,0.18034868,0.0,0.0,2
-0.15847579,1.0435711,-0.07536231,-0.32780504,-0.26460856,0.1782749,0.0,0.0,2
-0.15903358,1.0364144,-0.06429382,-0.3165653,-0.25589854,0.17420031,0.0,0.0,2
-0.15956306,1.0298637,-0.060687453,-0.28981686,-0.2480041,0.15788859,0.0,0.0,2
-0.16010103,1.023773,-0.060730904,-0.26954162,-0.24095114,0.14105931,0.0,0.0,1
-0.16070414,1.0171123,-0.06896414,-0.2946447,-0.23215586,0.17590588,0.0,0.0,1
-0.1614029,1.0098776,-0.08100286,-0.31982386,-0.22088508,0.22541514,0.0,0.0,2
-0.16190252,1.0029823,-0.061379462,-0.3047857,-0.20935091,0.23068352,0.0,0.0,2
-0.16236696,0.99661505,-0.057321228,-0.28148925,-0.1983807,0.2194043,0.0,0.0,3
-0.16276494,0.98962456,-0.04897765,-0.30948955,-0.18914798,0.18465433,0.0,0.0,2
-0.1630168,0.983067,-0.03445033,-0.29029676,-0.1798511,0.18593757,0.0,0.0,1
-0.16335258,0.9759456,-0.045060053,-0.31516045,-0.16834165,0.230189,0.0,0.0,2
-0.16345206,0.9693492,-0.021940347,-0.29185763,-0.1563362,0.2401087,0.0,0.0,1
-0.1636096,0.9621712,-0.029291403,-0.31765893,-0.14282563,0.2702118,0.0,0.0,3
-0.16370106,0.95438606,-0.02103494,-0.3449126,-0.13098322,0.23684807,0.0,0.0,2
-0.16366434,0.9469275,-0.008439207,-0.3304673,-0.11892627,0.24113889,0.0,0.0,2
-0.16360788,0.94044256,-0.0060095317,-0.2873349,-0.107356064,0.23140419,0.0,0.0,2
-0.16336508,0.9348709,0.012263074,-0.24681725,-0.09542916,0.23853834,0.0,0.0,2
-0.16287652,0.9298332,0.036020152,-0.2231302,-0.082704544,0.25449234,0.0,0.0,0
-0.16238776,0.92419755,0.036018353,-0.24981038,-0.06998007,0.25448954,0.0,0.0,3
-0.16183901,0.91795623,0.043536432,-0.27690288,-0.058768865,0.22422414,0.0,0.0,3
-0.16121177,0.9111182,0.05337459,-0.3035737,-0.04952461,0.1848852,0.0,0.0,3
-0.16050987,0.90368116,0.06273417,-0.33030623,-0.042153712,0.1474183,0.0,0.0,2
-0.1598444,0.8963584,0.05934589,-0.32527488,-0.035044745,0.14217927,0.0,0.0,2
-0.15918073,0.88983136,0.0593236,-0.28994337,-0.028095786,0.13897946,0.0,0.0,2
-0.15852013,0.8836427,0.059117436,-0.27493906,-0.02124255,0.13706483,0.0,0.0,2
-0.15782289,0.87778974,0.06267936,-0.26005104,-0.014281237,0.13922602,0.0,0.0,0
-0.15712567,0.8713374,0.06267925,-0.28672177,-0.0073199645,0.13922556,0.0,0.0,0
-0.15642834,0.8642857,0.06267919,-0.31339252,-0.0003587077,0.1392251,0.0,0.0,2
-0.15588407,0.85750383,0.048097353,-0.30143178,0.0058934274,0.12504251,0.0,0.0,1
-0.15540771,0.8501258,0.03957752,-0.32796356,0.0138514275,0.15915988,0.0,0.0,3
-0.15483503,0.84215254,0.051647455,-0.35443172,0.019391384,0.110799134,0.0,0.0,2
-0.15427284,0.83413357,0.05062475,-0.35648623,0.024916155,0.110495366,0.0,0.0,2
-0.1538103,0.8266949,0.041036658,-0.3307049,0.030070268,0.103082374,0.0,0.0,3
-0.15327826,0.81866974,0.04976213,-0.3567461,0.033470612,0.068006985,0.0,0.0,2
-0.15272054,0.81140155,0.052074958,-0.323115,0.037129328,0.07317413,0.0,0.0,2
-0.15213498,0.8046869,0.054587245,-0.29853088,0.041047756,0.07836848,0.0,0.0,3
-0.15148287,0.7973771,0.06294704,-0.32494444,0.04328949,0.04483458,0.0,0.0,2
-0.15087262,0.79058737,0.0588062,-0.30183592,0.04548667,0.043943625,0.0,0.0,3
-0.15020332,0.7832128,0.066214524,-0.32777792,0.046189256,0.014051728,0.0,0.0,3
-0.14943981,0.7752371,0.07804062,-0.35442197,0.044525668,-0.03327188,0.0,0.0,2
-0.14859085,0.76758087,0.08605068,-0.34024423,0.04338226,-0.022868136,0.0,0.0,2
-0.14763412,0.76029724,0.09619735,-0.3236962,0.04286671,-0.010310773,0.0,0.0,2
-0.14676428,0.7535488,0.087756224,-0.29990923,0.04209867,-0.015360685,0.0,0.0,2
-0.14586249,0.7474315,0.090649545,-0.27186617,0.041637875,-0.009215949,0.0,0.0,2
-0.14515181,0.7415132,0.0723278,-0.2629956,0.040395956,-0.024838403,0.0,0.0,2
-0.14450875,0.7363957,0.06570604,-0.2274136,0.039015207,-0.02761505,0.0,0.0,1
-0.14393654,0.73066896,0.05680286,-0.25453195,0.039422765,0.008151179,0.0,0.0,3
-0.14329997,0.72434264,0.06488844,-0.28113705,0.038211424,-0.02422673,0.0,0.0,2
-0.1426073,0.71808386,0.0701505,-0.27814928,0.03733739,-0.017480785,0.0,0.0,2
-0.14192066,0.7119623,0.06948217,-0.27205104,0.036519546,-0.016356638,0.0,0.0,2
-0.14133969,0.70629317,0.059305213,-0.2519292,0.035331976,-0.023751402,0.0,0.0,1
-0.14082642,0.70001435,0.050794028,-0.2790734,0.035854235,0.0104450155,0.0,0.0,2
-0.14046994,0.69444996,0.03570111,-0.24730514,0.035796262,-0.0011592685,0.0,0.0,2
-0.13995075,0.6888302,0.051157348,-0.24978915,0.036550634,0.015087226,0.0,0.0,3
-0.13935432,0.682604,0.060837023,-0.27668798,0.035371047,-0.023591876,0.0,0.0,2
-0.13894625,0.677001,0.04274996,-0.24897878,0.03345358,-0.038349222,0.0,0.0,2
-0.13866368,0.6715602,0.030703882,-0.24176185,0.031033935,-0.048392892,0.0,0.0,1
-0.13847104,0.66551244,0.019417655,-0.26878107,0.030877583,-0.0031271174,0.0,0.0,3
-0.13819924,0.6588724,0.029367939,-0.29507193,0.028725104,-0.04304975,0.0,0.0,2
-0.13812152,0.653061,0.01073394,-0.25823143,0.025800686,-0.058488153,0.0,0.0,2
-0.137893,0.64814603,0.024981882,-0.21840739,0.023691569,-0.04218234,0.0,0.0,1
-0.1377513,0.6426241,0.014085233,-0.24541968,0.02376716,0.0015118474,0.0,0.0,3
-0.13753872,0.6365035,0.022991287,-0.27200043,0.022058921,-0.034164928,0.0,0.0,2
-0.13741446,0.6303273,0.014536421,-0.27446994,0.019978995,-0.041598596,0.0,0.0,2
-0.13738021,0.6248148,0.0058740405,-0.24496841,0.01755976,-0.04838478,0.0,0.0,0
-0.13734598,0.61870235,0.0058740554,-0.2716356,0.015140517,-0.04838479,0.0,0.0,2
-0.13725996,0.6134252,0.010733797,-0.2345228,0.0130265895,-0.042278457,0.0,0.0,1
-0.13726072,0.60754496,-0.0001297971,-0.26134327,0.013088837,0.0012449265,0.0,0.0,1
-0.13735047,0.60106695,-0.011313801,-0.2879309,0.0153902415,0.046028323,0.0,0.0,2
-0.13735771,0.5951001,-0.003490258,-0.2652216,0.018126003,0.054715097,0.0,0.0,3
-0.13726768,0.5885436,0.008702453,-0.2914017,0.018417027,0.0058207074,0.0,0.0,2
-0.13724594,0.5828708,0.0021080677,-0.25213072,0.018475708,0.001173516,0.0,0.0,3
-0.13713054,0.576599,0.013878022,-0.27871835,0.016177125,-0.04597153,0.0,0.0,2
-0.13696718,0.57092774,0.01838069,-0.25203836,0.014159212,-0.040358204,0.0,0.0,2
-0.13688803,0.56560355,0.0103114955,-0.23660637,0.011792625,-0.047331832,0.0,0.0,1
-0.13688746,0.55968285,0.00045822194,-0.2631408,0.011398562,-0.007881309,0.0,0.0,0
-0.13688688,0.55316204,0.00045822212,-0.28980747,0.011004499,-0.0078813005,0.0,0.0,2
-0.13702393,0.54731613,-0.012700426,-0.2598119,0.010016588,-0.019758381,0.0,0.0,2
-0.13701458,0.5420078,0.0012073108,-0.23592506,0.009739817,-0.0055352305,0.0,0.0,2
-0.13687496,0.5368577,0.013605626,-0.22889225,0.01008819,0.0069676884,0.0,0.0,2
-0.13672152,0.53225565,0.014900689,-0.20454186,0.010536297,0.0089620445,0.0,0.0,0
-0.13656798,0.52705353,0.01490069,-0.23120853,0.010984409,0.008962025,0.0,0.0,2
-0.13646707,0.52268416,0.009833128,-0.1941955,0.011236761,0.0050471104,0.0,0.0,0
-0.13636628,0.5177148,0.009833129,-0.22086217,0.011489119,0.0050471006,0.0,0.0,0
-0.13626537,0.51214546,0.009833128,-0.24752884,0.011741477,0.005047107,0.0,0.0,2
-0.13606834,0.50678486,0.018970357,-0.23825459,0.012467492,0.014520478,0.0,0.0,1
-0.13595267,0.5008325,0.008753812,-0.26457566,0.015237725,0.05540467,0.0,0.0,2
-0.13590364,0.49544165,0.0023576547,-0.23962384,0.01775426,0.050330658,0.0,0.0,1
-0.13591623,0.48945788,-0.0053832913,-0.26600036,0.021818811,0.0812912,0.0,0.0,2
-0.13577995,0.4836296,0.008762101,-0.2591131,0.026622565,0.09607534,0.0,0.0,3
-0.13555631,0.47719583,0.019718932,-0.28599432,0.029235017,0.052249033,0.0,0.0,3
-0.13524398,0.4701549,0.03083497,-0.312938,0.02962536,0.007806912,0.0,0.0,2
-0.13504943,0.46337408,0.019528512,-0.30136773,0.029549249,-0.0015222431,0.0,0.0,2
-0.13485546,0.45707324,0.01938166,-0.28003585,0.029568704,0.00038898067,0.0,0.0,1
-0.13475934,0.45016953,0.007118506,-0.30688223,0.032044962,0.04952502,0.0,0.0,2
-0.134865,0.44404387,-0.01226975,-0.27228925,0.033722896,0.033558447,0.0,0.0,2
-0.13485698,0.43797362,-0.0014954803,-0.26984295,0.035994507,0.045432128,0.0,0.0,2
-0.1348054,0.43237352,0.0025367725,-0.24895842,0.03858569,0.051823623,0.0,0.0,3
-0.13469133,0.42616525,0.010369724,-0.2759479,0.03961413,0.02056869,0.0,0.0,1
-0.13467455,0.4193576,-0.001826829,-0.3026621,0.04308388,0.06939481,0.0,0.0,2
-0.1345501,0.4132998,0.0082481615,-0.26936015,0.047229376,0.082910076,0.0,0.0,3
-0.13435078,0.40665802,0.017652968,-0.2952631,0.049479857,0.045009445,0.0,0.0,2
-0.13432893,0.40000308,0.00064800744,-0.29583082,0.05099974,0.03039768,0.0,0.0,2
-0.13435106,0.3933066,-0.0036346768,-0.29766747,0.05240389,0.028083097,0.0,0.0,2
-0.13436003,0.3871475,-0.0025700748,-0.27379882,0.054051705,0.032956697,0.0,0.0,2
-0.13455448,0.3817149,-0.020466145,-0.24148394,0.055063553,0.020237098,0.0,0.0,3
-0.1346794,0.37569833,-0.011743536,-0.26737943,0.05431513,-0.014968412,0.0,0.0,2
-0.13468027,0.37031507,-0.00011308029,-0.23925391,0.054346155,0.00062059105,0.0,0.0,3
-0.13460502,0.36433375,0.009425174,-0.26576987,0.052466772,-0.037587836,0.0,0.0,2
-0.1345315,0.35853204,0.009140931,-0.2577913,0.050705466,-0.03522627,0.0,0.0,2
-0.13449392,0.35293365,0.005577144,-0.24875517,0.048902735,-0.036054727,0.0,0.0,2
-0.13458157,0.34754607,-0.0064791837,-0.23937514,0.046643432,-0.04518584,0.0,0.0,2
-0.1345953,0.34231246,0.00046063686,-0.23255067,0.04483383,-0.03619201,0.0,0.0,2
-0.13481502,0.33740503,-0.019304428,-0.21803215,0.04219986,-0.052679382,0.0,0.0,2
-0.13504906,0.33279443,-0.020793715,-0.2048418,0.03961557,-0.051685434,0.0,0.0,3
-0.13519374,0.3275935,-0.009570839,-0.23103043,0.034778357,-0.096744455,0.0,0.0,1
-0.1354123,0.3217892,-0.01883499,-0.25790176,0.03179799,-0.059607424,0.0,0.0,2
-0.13580637,0.31687725,-0.035717353,-0.21823473,0.028151456,-0.072930455,0.0,0.0,1
-0.13628598,0.31135377,-0.046458144,-0.24545932,0.026661035,-0.029808303,0.0,0.0,1
-0.13685885,0.30521622,-0.058155656,-0.27279535,0.027519159,0.017162483,0.0,0.0,3
-0.1373374,0.29848933,-0.046317033,-0.29894486,0.026001936,-0.030344646,0.0,0.0,2
-0.13774529,0.29221824,-0.039662376,-0.2786965,0.024895772,-0.02212317,0.0,0.0,2
-0.13806066,0.2868966,-0.03097328,-0.23650813,0.024335062,-0.011214225,0.0,0.0,2
-0.13822421,0.28174075,-0.016560342,-0.22915202,0.024533456,0.00396816,0.0,0.0,2
-0.13826475,0.27731332,-0.0049338746,-0.19679007,0.025400635,0.017343508,0.0,0.0,2
-0.1382081,0.27339157,0.004240585,-0.17432627,0.026803121,0.02804989,0.0,0.0,3
-0.13807602,0.2688632,0.013705621,-0.20125136,0.026313422,-0.009793839,0.0,0.0,1
-0.13801555,0.2637427,0.004717321,-0.22760214,0.02761996,0.02613099,0.0,0.0,2
-0.13787135,0.25926805,0.012601839,-0.19890669,0.029419664,0.035993904,0.0,0.0,0
-0.13772717,0.25419354,0.012601851,-0.2255736,0.031219369,0.035993908,0.0,0.0,3
-0.13750458,0.2485124,0.022421807,-0.25249225,0.03105644,-0.0032585957,0.0,0.0,2
-0.13731547,0.24310778,0.019145254,-0.24019985,0.030822193,-0.0046849004,0.0,0.0,1
-0.1372203,0.23710471,0.007371316,-0.26685232,0.03294452,0.042446617,0.0,0.0,2
-0.13706513,0.2316172,0.0129658235,-0.24394621,0.03545648,0.050239313,0.0,0.0,3
-0.13681564,0.22553302,0.024812689,-0.27041197,0.035594743,0.0027652555,0.0,0.0,2
-0.13660899,0.22030357,0.020558324,-0.23242427,0.035693344,0.0019722139,0.0,0.0,2
-0.1363308,0.21506633,0.027319089,-0.23278078,0.036187887,0.009890814,0.0,0.0,2
-0.13598585,0.21060878,0.033523828,-0.19813547,0.037144076,0.019123552,0.0,0.0,1
-0.13573131,0.20555778,0.02219084,-0.2245706,0.040364984,0.06441831,0.0,0.0,3
-0.1353981,0.19990268,0.032060515,-0.25137132,0.041613035,0.024961134,0.0,0.0,2
-0.13508005,0.1949655,0.030439263,-0.21946988,0.042959124,0.02692216,0.0,0.0,0
-0.134762,0.18942834,0.030439273,-0.24613668,0.04430524,0.026922157,0.0,0.0,2
-0.13436146,0.18426476,0.038175233,-0.22954997,0.046165347,0.03720221,0.0,0.0,2
-0.13404074,0.17990142,0.030352172,-0.19398211,0.047854498,0.033783086,0.0,0.0,0
-0.13372011,0.17493804,0.03035219,-0.220649,0.04954364,0.0337831,0.0,0.0,3
-0.13332634,0.16937199,0.039519027,-0.24737549,0.04940042,-0.0028644868,0.0,0.0,2
-0.1328661,0.16421743,0.045714147,-0.2291024,0.049718488,0.006361144,0.0,0.0,2
-0.13240118,0.15899327,0.046059385,-0.23219869,0.050138246,0.008395465,0.0,0.0,2
-0.13203612,0.15470146,0.03631069,-0.19075397,0.050333206,0.00389888,0.0,0.0,2
-0.13168554,0.15072177,0.034788042,-0.17688385,0.050602354,0.0053829877,0.0,0.0,2
-0.13133784,0.14705859,0.034374624,-0.16282517,0.051000915,0.00797122,0.0,0.0,3
-0.13089171,0.14280854,0.046717867,-0.18882197,0.04891784,-0.041661404,0.0,0.0,2
-0.13057384,0.13864811,0.034390345,-0.18482679,0.046346005,-0.051436655,0.0,0.0,2
-0.13037872,0.13461994,0.022582086,-0.17893802,0.043311127,-0.060697388,0.0,0.0,0
-0.1301836,0.12999187,0.02258214,-0.20560546,0.04027626,-0.060697354,0.0,0.0,2
-0.12984276,0.12583087,0.036335386,-0.18487422,0.03804665,-0.04459211,0.0,0.0,2
-0.12940836,0.12170335,0.04518887,-0.18340336,0.036324006,-0.034453355,0.0,0.0,1
-0.12905923,0.11696764,0.034487136,-0.21048556,0.036748815,0.008496216,0.0,0.0,3
-0.12862806,0.111627325,0.044761606,-0.2373052,0.035119552,-0.032585084,0.0,0.0,2
-0.12823963,0.1065955,0.04060089,-0.22359775,0.033391237,-0.03456669,0.0,0.0,2
-0.12794618,0.1015395,0.03147391,-0.22466256,0.031282138,-0.042182155,0.0,0.0,1
-0.12773648,0.09587532,0.020978957,-0.2517423,0.031278662,-6.946812e-05,0.0,0.0,2
-0.12757902,0.090844214,0.015864888,-0.2236055,0.031151231,-0.0025485684,0.0,0.0,3
-0.12735224,0.085218295,0.024577579,-0.24999827,0.029276574,-0.037493147,0.0,0.0,2
-0.12732878,0.08010465,0.005100958,-0.22722384,0.026561938,-0.05429303,0.0,0.0,1
-0.12739411,0.074378096,-0.006052144,-0.25450712,0.026086275,-0.009513055,0.0,0.0,2
-0.1273839,0.06952823,0.0010293724,-0.21554926,0.026077988,-0.00016574922,0.0,0.0,2
-0.1275713,0.06516038,-0.017888647,-0.19411215,0.02524266,-0.016706623,0.0,0.0,2
-0.12779121,0.060907684,-0.021052048,-0.18899176,0.024311889,-0.018615425,0.0,0.0,3
-0.12791634,0.05605689,-0.009168532,-0.21554004,0.021000888,-0.06621994,0.0,0.0,1
-0.12812614,0.05060936,-0.019770589,-0.24209519,0.019811742,-0.02378296,0.0,0.0,2
-0.12849435,0.04523214,-0.034926176,-0.2389649,0.017929843,-0.037637815,0.0,0.0,2
-0.12890664,0.040224634,-0.039171588,-0.22253115,0.015897697,-0.04064283,0.0,0.0,2
-0.1292553,0.035148177,-0.0331299,-0.22560287,0.014185751,-0.034238957,0.0,0.0,2
-0.12945548,0.030645857,-0.019030523,-0.2000951,0.013211215,-0.019490626,0.0,0.0,2
-0.12961379,0.02668613,-0.015085677,-0.17598136,0.012476306,-0.014698239,0.0,0.0,1
-0.12984343,0.02213696,-0.024042139,-0.20219375,0.013532754,0.021128993,0.0,0.0,1
-0.13014069,0.01697503,-0.03251546,-0.22944644,0.016288966,0.0551243,0.0,0.0,2
-0.13044396,0.011776266,-0.03312404,-0.23108654,0.019045014,0.055120964,0.0,0.0,3
-0.13067551,0.0059780455,-0.024117898,-0.25771233,0.01999749,0.019049436,0.0,0.0,2
-0.13088779,0.0006270385,-0.022352593,-0.23783568,0.021102788,0.022106102,0.0,0.0,2
-0.1311161,-0.003546586,-0.005174882,-0.18537878,0.0035419057,-0.35140482,1.0,1.0,0
-0.13136283,-0.007017436,-0.00671742,-0.15455644,-0.014110146,-0.35294515,1.0,1.0,3
-0.13152114,-0.009842303,0.004400117,-0.1258658,-0.034084927,-0.39949083,1.0,1.0,0
-0.13166952,-0.012037566,0.00549039,-0.09815862,-0.054164894,-0.40159464,1.0,1.0,0
-0.13180399,-0.013642993,0.006300232,-0.07219176,-0.07368907,-0.39047647,1.0,1.0,0
-0.131915,-0.014719524,0.0065471567,-0.04881568,-0.09116582,-0.34952417,1.0,1.0,0
-0.1319929,-0.01532624,0.006221116,-0.027882226,-0.10504786,-0.2776312,1.0,1.0,0
-0.13203144,-0.015500119,0.005546057,-0.008419719,-0.11439346,-0.18690538,1.0,1.0,0
-0.1320179,-0.015438428,0.0009088911,0.002782966,-0.11393916,0.009098406,1.0,1.0,0
-0.13197193,-0.015043285,0.0015598892,0.017801188,-0.110964015,0.059454642,1.0,1.0,0
-0.13189717,-0.01438221,0.0026723258,0.029730598,-0.10619044,0.09547204,1.0,1.0,0
-0.13180342,-0.013574507,0.0035069026,0.03630196,-0.100375906,0.11629047,1.0,1.0,0
-0.13170233,-0.012745454,0.004076636,0.03724172,-0.09438869,0.119743526,1.0,1.0,0
-0.13160305,-0.011997118,0.004428303,0.033594802,-0.08894719,0.108829156,1.0,1.0,0
-0.1315116,-0.011390223,0.0046482943,0.027234757,-0.08448648,0.08921388,1.0,1.0,0
-0.1314292,-0.0109389685,0.0048342007,0.020243414,-0.08111716,0.067386344,1.0,1.0,0
-0.13135377,-0.010618462,0.0050694374,0.01437719,-0.07866985,0.048946716,1.0,1.0,0
-0.13128081,-0.0103792455,0.0054066563,0.010729645,-0.07679729,0.037451617,1.0,1.0,0
-0.13120499,-0.010164597,0.0058621797,0.00962709,-0.075096734,0.034012143,1.0,1.0,0
-0.13112183,-0.009925344,0.006420476,0.010728032,-0.07321735,0.037588574,1.0,1.0,0
-0.13102826,-0.009629586,0.00704515,0.013255657,-0.07093054,0.0457369,1.0,1.0,0
-0.13092318,-0.009266271,0.0076922826,0.016278382,-0.06815511,0.055508994,1.0,1.0,0
-0.13080749,-0.00884284,0.008322384,0.018962532,-0.06494241,0.06425413,1.0,1.0,0
-0.13068295,-0.008379462,0.008908587,0.020745354,-0.061434187,0.0701642,1.0,1.0,0
-0.1305519,-0.007901099,0.009440035,0.021405708,-0.05780901,0.07250331,1.0,1.0,0
-0.13041648,-0.0074307825,0.009920826,0.021038478,-0.054231953,0.071540594,1.0,1.0,0
-0.1302783,-0.006984427,0.010365687,0.019960087,-0.05081874,0.06826416,1.0,1.0,0
-0.13013801,-0.0065686847,0.010794035,0.018582473,-0.047619343,0.06398811,1.0,1.0,0
-0.12999535,-0.0061816955,0.011224331,0.01729293,-0.044621043,0.0599661,1.0,1.0,0
-0.12984972,-0.0058153416,0.011669864,0.016367387,-0.04176584,0.05710436,1.0,1.0,0
-0.1297001,-0.005458608,0.012136743,0.01593014,-0.03897474,0.055822384,1.0,1.0,0
-0.1295455,-0.0051011587,0.012624098,0.015959378,-0.036171574,0.05606351,1.0,1.0,0
-0.12938519,-0.0047353413,0.013125896,0.016326426,-0.03330066,0.057418298,1.0,1.0,0
-0.12921877,-0.0043576146,0.0136335865,0.016851624,-0.03033544,0.059304554,1.0,1.0,0
-0.12904635,-0.0039683366,0.014138771,0.017359532,-0.027278068,0.06114766,1.0,1.0,0
-0.1288683,-0.0035708689,0.014635144,0.017720329,-0.024152203,0.06251744,1.0,1.0,0
-0.12868519,-0.003169861,0.01511959,0.017870517,-0.02099228,0.06319823,1.0,1.0,0
-0.12849799,-0.0027699613,0.0155148255,0.017815642,-0.017834425,0.06315792,1.0,1.0,0
-0.12830982,-0.0023745322,0.015652565,0.017609147,-0.014705148,0.062587015,1.0,1.0,0
-0.12812337,-0.0019853257,0.015519683,0.017325692,-0.011615772,0.061788928,1.0,1.0,0
-0.12794018,-0.0016023779,0.0152261425,0.017041525,-0.008565208,0.061012287,1.0,1.0,0
-0.12776032,-0.0012244009,0.014926183,0.016814444,-0.005543463,0.060434777,1.0,1.0,0
-0.12758236,-0.0008494282,0.014744249,0.016674614,-0.0025362498,0.06014346,1.0,1.0,0
-0.12745361,-0.000848999,0.012855312,1.8281966e-05,-0.00251586,0.00040694125,1.0,1.0,0
-0.12737665,-0.00085271837,0.0076847845,-0.00016481751,-0.0025060354,0.0001972289,1.0,1.0,0
-0.12735215,-0.000853219,0.0024492457,-2.2495055e-05,-0.0025025045,7.072433e-05,1.0,1.0,0
-0.12736091,-0.00085314753,-0.0008990432,1.9877987e-06,-0.0024891216,0.0002605755,1.0,1.0,0
-0.12737446,-0.000853076,-0.0013685839,1.9601034e-06,-0.0024687075,0.0003967741,1.0,1.0,0
-0.12738028,-0.000853076,-0.000591612,7.894949e-07,-0.002459878,0.00017153364,1.0,1.0,0
-0.1273797,-0.000853076,5.9643964e-05,-7.888926e-08,-0.002460751,-1.7284547e-05,1.0,1.0,0
-0.12737751,-0.000853076,0.00022879471,-3.0474527e-07,-0.0024641557,-6.6344575e-05,1.0,1.0,0
